3.483372E-12, 6.570358E-12, 1.860354E-12, 5.941446E-12
-4.274458E-05, -7.181327E-05, -0.0001416995, -0.0002463323
-0.0002136838, -0.0004899534, -0.0008607482, -0.001451918
-0.0005845887, -0.001639762, -0.002734826, -0.004429936
-0.001231381, -0.003802391, -0.006379744, -0.01007238
-0.002186265, -0.007109028, -0.01216618, -0.01858108
-0.003508653, -0.0115836, -0.01983699, -0.03150694
-0.005227474, -0.01719853, -0.03063891, -0.04693663
-0.007246194, -0.02373575, -0.04313475, -0.06833499
-0.009508064, -0.03147233, -0.05665711, -0.09360757
-0.01211585, -0.03990534, -0.0719529, -0.1186339
-0.01483392, -0.04826599, -0.08876011, -0.1425637
-0.01763856, -0.05690509, -0.1031639, -0.1673825
-0.02024565, -0.06461304, -0.11869, -0.1920421
-0.0224585, -0.07104792, -0.1306858, -0.2071194
-0.02445064, -0.07593924, -0.1387754, -0.2227327
-0.02564249, -0.0785676, -0.1422759, -0.2279868
-0.02591211, -0.07882605, -0.1415218, -0.2114131
-0.02511505, -0.07563338, -0.1345504, -0.1977544
-0.02333589, -0.06834551, -0.1210443, -0.1747877
-0.02025684, -0.05814261, -0.1036277, -0.1415974
-0.01595606, -0.04402933, -0.07794292, -0.1047762
-0.01042125, -0.02716609, -0.04776109, -0.06023049
-0.003830673, -0.007054796, -0.01230791, -0.01090279
0.003786814, 0.01590247, 0.02781074, 0.04340914
0.01227818, 0.04102483, 0.07221867, 0.1001971
0.02114212, 0.06778297, 0.1184416, 0.1606613
0.03029578, 0.09552047, 0.1675797, 0.219767
0.03998476, 0.1238615, 0.2168292, 0.2803471
0.0491753, 0.1504697, 0.2626392, 0.3412423
0.05775307, 0.1753175, 0.3078716, 0.4002368
0.06495455, 0.197935, 0.3513801, 0.4455826
0.07223478, 0.217552, 0.3880364, 0.4962996
0.07731985, 0.2315404, 0.4167686, 0.5313913
0.08063667, 0.243819, 0.4360079, 0.5730378
0.08224872, 0.2483694, 0.4415584, 0.5784031
0.08171116, 0.2486667, 0.4416417, 0.5792913
0.07862726, 0.2409041, 0.424835, 0.5560094
0.07401387, 0.228193, 0.4000879, 0.5220724
0.06640468, 0.2074854, 0.3696932, 0.484195
0.05719408, 0.1798062, 0.3145631, 0.4148832
0.04581226, 0.1438409, 0.2550514, 0.3348202
0.03208583, 0.1016464, 0.1799497, 0.2438153
0.01708686, 0.05520768, 0.09781019, 0.1316539
0.0009814962, 0.004053962, 0.005907475, 0.007971776
-0.01625957, -0.05070856, -0.09169381, -0.1274465
-0.03400155, -0.1073552, -0.1948862, -0.271123
-0.05189065, -0.1646311, -0.2984388, -0.41888
-0.06963386, -0.2212019, -0.39918, -0.5785579
-0.08645452, -0.2798626, -0.5005538, -0.7301378
-0.1017829, -0.3332823, -0.5982934, -0.8911905
-0.1154232, -0.3785012, -0.6836514, -1.033004
-0.1272245, -0.4182678, -0.765048, -1.170121
-0.1371735, -0.4510803, -0.807275, -1.283723
